x y z
5 5 117.117082490965
10 5 116.868452586133
15 5 116.654538064785
20 5 116.372671656006
25 5 115.91153188219
30 5 115.673168545981
35 5 115.483455735243
40 5 115.225244523626
45 5 115.022816494241
50 5 115.096442032891
55 5 115.707914692708
60 5 115.984480583645
65 5 116.142486098758
70 5 116.26476516078
75 5 116.174497938477
80 5 115.608598172316
85 5 115.030111108808
90 5 114.156230448655
95 5 113.137009513159
100 5 112.096789079752
105 5 111.142333659203
110 5 110.436180132786
115 5 110.032921041378
120 5 110.003413135506
125 5 110.195015024676
130 5 110.677297581598
5 10 118.003963142895
10 10 117.586171715459
15 10 116.993726357609
20 10 116.371872157452
25 10 115.678869728234
30 10 115.339483611185
35 10 115.150620611527
40 10 115.091409413428
45 10 115.249520140343
50 10 115.767293312728
55 10 116.489808393615
60 10 116.885106162259
65 10 117.124071975661
70 10 117.276775902123
75 10 117.388766420831
80 10 117.244490335902
85 10 116.757528068979
90 10 116.161993723464
95 10 115.002747039967
100 10 113.464166076002
105 10 111.620051056983
110 10 110.621063880467
115 10 111.000430446091
120 10 110.774999256423
125 10 110.946098062532
130 10 111.323371423993
5 15 118.628891376198
10 15 118.040126417014
15 15 117.315103999233
20 15 116.620526480807
25 15 116.09252854582
30 15 115.946758158999
35 15 115.937353420443
40 15 116.090196886717
45 15 116.317503520322
50 15 116.823827002354
55 15 117.271036608652
60 15 117.423396656956
65 15 117.316689287265
70 15 117.287042000556
75 15 117.312787540526
80 15 117.328005023497
85 15 116.896573288989
90 15 116.376433042889
95 15 115.456575946717
100 15 113.990305970956
105 15 112.219382126813
110 15 112.239144833154
115 15 111.731897042377
120 15 112.042485108214
125 15 111.978535951639
130 15 112.072955797768
5 20 119.346031711219
10 20 118.818317515081
15 20 118.170919813656
20 20 117.557248770856
25 20 117.25711848145
30 20 117.153283638953
35 20 117.091142727778
40 20 116.960355043848
45 20 117.029339664643
50 20 117.124799926837
55 20 117.306097567794
60 20 117.731579867754
65 20 117.912994283803
70 20 117.991031136411
75 20 118.131920427303
80 20 118.328293943355
85 20 118.219763874488
90 20 117.468619037154
95 20 116.885051240565
100 20 115.874996969195
105 20 115.040201071412
110 20 114.655474628673
115 20 113.995293071359
120 20 113.347852852816
125 20 113.179794448652
130 20 113.214480158649
5 25 120.251231116506
10 25 119.758933636384
15 25 119.180395661171
20 25 118.716517517487
25 25 118.500150252828
30 25 118.27138298277
35 25 118.08103460404
40 25 117.936294752519
45 25 117.841256769642
50 25 117.787493774727
55 25 118.20826903279
60 25 118.657688612688
65 25 119.514564470894
70 25 120.030361311233
75 25 120.701759190242
80 25 121.083730076794
85 25 121.167201107673
90 25 120.693185303305
95 25 120.459256802294
100 25 119.753755738973
105 25 119.597786843875
110 25 117.734699107811
115 25 116.100053819041
120 25 114.643650571955
125 25 114.168230101301
130 25 114.223343800516
5 30 121.610771184388
10 30 121.167864459247
15 30 120.619375526513
20 30 120.147886786324
25 30 119.944938321257
30 30 119.633878434092
35 30 119.440745499838
40 30 119.386285087643
45 30 119.37700008498
50 30 119.688729316189
55 30 120.576673365431
60 30 121.075094384542
65 30 121.468063696171
70 30 122.363834612326
75 30 123.070930297428
80 30 123.253644479401
85 30 123.149790453747
90 30 122.72361422959
95 30 122.453186586269
100 30 122.667317294272
105 30 121.663057335429
110 30 119.337338595518
115 30 117.306725235974
120 30 115.697358929216
125 30 114.48707047528
130 30 114.904465509383
5 35 123.057210240624
10 35 122.699468155254
15 35 122.354493554163
20 35 121.817069552026
25 35 121.671144874601
30 35 121.402644300704
