x y  z
0 0 -1.13842
1 0 -1.2649111
2 0 -1.7076299
3 0 -1.7708755
4 0 -1.2649111
5 0 -1.3914022
6 0 -1.13842
7 0 -1.5811388
8 0 -1.2016655
9 0 -2.4665766
10 0 -3.0357866
11 0 -3.0357866
12 0 -2.2135944
13 0 -1.7708755
14 0 -1.5811388
15 0 -1.2016655
16 0 -1.6443844
17 0 -0.9486833
18 0 -0.9486833
19 0 -0.9486833
20 0 -0.50596443
21 0 -0.50596443
22 0 0
23 0 -0.63245553
24 0 -1.2649111
25 0 -0.50596443
26 0 -0.63245553
27 0 -0.31622777
28 0 -0.37947332
29 0 -0.63245553
30 0 -0.50596443
31 0 -0.50596443
32 0 -0.50596443
33 0 -0.82219219
34 0 -1.0119289
35 0 -1.4546477
36 0 -1.7708755
37 0 -2.1503488
38 0 -1.7708755
39 0 -1.5811388
40 0 -1.0751744
41 0 0.37947332
42 0 0.63245553
43 0 0.75894664
44 0 0.44271887
45 0 0.50596443
46 0 0.50596443
47 0 0.9486833
48 0 0.69570109
49 0 0.50596443
50 0 -0.063245553
51 0 0.18973666
52 0 -0.12649111
53 0 -0.31622777
54 0 -0.18973666
55 0 0.44271887
56 0 0.9486833
57 0 1.3281566
58 0 1.6443844
59 0 1.5811388
60 0 1.4546477
61 0 1.4546477
62 0 0.69570109
63 0 0.31622777
64 0 -0.063245553
65 0 -0.31622777
66 0 -0.18973666
67 0 -0.25298221
68 0 -0.063245553
69 0 -0.25298221
70 0 -0.50596443
71 0 -0.50596443
72 0 -0.56920998
73 0 -0.63245553
74 0 -0.75894664
75 0 -0.44271887
76 0 -0.44271887
77 0 -0.50596443
78 0 -0.56920998
79 0 -0.9486833
80 0 -0.44271887
81 0 -0.75894664
82 0 -0.63245553
83 0 -0.69570109
84 0 -0.56920998
85 0 -0.31622777
86 0 -0.82219219
87 0 -1.7708755
88 0 -1.3914022
89 0 -1.0751744
90 0 -1.2016655
91 0 -0.56920998
92 0 -0.88543774
93 0 -0.75894664
94 0 0.063245553
95 0 -0.063245553
96 0 0
97 0 0.75894664
98 0 1.2649111
99 0 1.0119289
100 0 1.3281566
0 1 -0.88543774
1 1 -0.56920998
2 1 -1.2649111
3 1 -1.5178933
4 1 -1.4546477
5 1 -1.5178933
6 1 -1.2649111
7 1 -1.13842
8 1 -1.0119289
9 1 -2.0871033
10 1 -2.5298221
11 1 -2.7828043
12 1 -2.3400855
13 1 -1.2649111
14 1 -1.3281566
15 1 -1.4546477
16 1 -0.88543774
17 1 -1.3281566
18 1 -0.82219219
19 1 -0.37947332
20 1 -0.69570109
21 1 -0.9486833
22 1 -0.82219219
23 1 -0.75894664
24 1 -0.37947332
25 1 -0.56920998
26 1 -0.25298221
27 1 0.12649111
28 1 -0.063245553
29 1 0.31622777
30 1 -0.18973666
31 1 0
32 1 -0.12649111
33 1 -0.88543774
34 1 -1.0119289
35 1 -1.3914022
36 1 -1.7708755
37 1 -2.2135944
38 1 -1.8973666
39 1 -0.9486833
40 1 -0.56920998
41 1 0.12649111
42 1 0.63245553
43 1 1.5178933
44 1 1.13842
45 1 0.69570109
46 1 0.9486833
47 1 1.0119289
48 1 0.69570109
49 1 0.18973666
50 1 0.44271887
51 1 0.12649111
52 1 -0.063245553
53 1 0.12649111
54 1 -0.063245553
55 1 0.63245553
56 1 1.0119289
57 1 0.69570109
58 1 1.2016655
59 1 0.44271887
60 1 0.44271887
61 1 0.63245553
62 1 0.44271887
63 1 0
64 1 0.25298221
65 1 -0.063245553
66 1 -0.56920998
67 1 -0.82219219
68 1 -0.88543774
69 1 -0.82219219
70 1 -0.9486833
71 1 -0.69570109
72 1 -1.0751744
73 1 -1.2649111
74 1 -0.9486833
75 1 -0.82219219
76 1 -0.37947332
77 1 -0.25298221
78 1 -0.31622777
79 1 -0.50596443
80 1 -0.75894664
81 1 -0.69570109
82 1 -0.25298221
83 1 -0.31622777
84 1 -0.063245553
85 1 -0.56920998
86 1 -1.2649111
87 1 -1.4546477
88 1 -1.0751744
89 1 -1.0119289
90 1 -1.0119289
91 1 -0.88543774
92 1 -1.0119289
93 1 -0.88543774
94 1 -0.25298221
95 1 0
96 1 1.0751744
97 1 1.0751744
98 1 1.0751744
99 1 1.3281566
100 1 1.13842
0 2 -0.50596443
1 2 -1.13842
2 2 -1.6443844
3 2 -1.8973666
4 2 -1.5811388
5 2 -1.2649111
6 2 -1.0751744
7 2 -1.2016655
8 2 -0.82219219
9 2 -1.13842
